id;view;wing;side;A_wing
ACC0077;V;Post;d;776253.5
EL72562;V;Ant;g;776009.0
EL43187;V;Ant;g;775813.0
EL72447;V;Ant;d;775352.0
EL72419;V;Post;g;775144.0
EL72744;D;Post;g;775067.0
ACC0056;V;Post;d;775022.5
EL72604;V;Ant;g;774406.0
EL72525;D;Ant;g;774284.5
EL72612;V;Ant;g;773790.5
EL72695;D;Ant;g;773299.0
EL72703;D;Ant;g;772049.5
EL72465;V;Post;d;770802.0
EL75728;D;Ant;d;770574.0
EL72465;D;Post;d;770538.0
EL72737;V;Ant;g;770065.5
EL75612;D;Ant;g;769748.5
EL72482;V;Ant;g;768986.5
ACC0036;D;Post;g;768975.0
ACC0036;V;Post;g;768476.0
EL72486;D;Post;d;767812.5
EL43129;V;Ant;g;767744.5
ACC0103;D;Ant;d;767707.0
EL75661;D;Post;g;767474.0
ACC0400;V;Ant;d;767316.0
EL75374;V;Ant;g;766961.0
EL72486;V;Post;d;766941.0
EL72469;D;Ant;d;766862.0
EL75506;D;Ant;g;766769.5
EL72409;D;Ant;d;766663.5
EL75503;D;Ant;d;766577.0
EL75712;D;Ant;g;766160.5
ACC0074;D;Post;d;765930.5
EL72620;D;Post;d;765665.5
EL75684;V;Post;d;765597.0
EL75593;V;Ant;d;765490.5
EL75693;D;Post;d;765099.5
EL43179;V;Ant;g;764997.5
EL43173;D;Ant;g;764429.0
EL72651;D;Ant;g;764322.0
ACC0050;D;Post;d;764168.5
ACC0049;D;Post;d;764108.0
EL75684;D;Post;d;763966.0
EL75693;V;Post;d;763930.5
ACC0007;D;Ant;d;763747.5
EL43186;D;Ant;d;763260.5
EL72485;V;Post;d;763208.5
EL72492;V;Ant;d;762971.0
EL75561;V;Ant;d;762551.5
EL75310;V;Ant;d;762545.5
ACC0050;V;Post;d;762521.0
EL72620;V;Post;d;761611.5
ACC0206;D;Ant;g;761509.0
EL72496;V;Ant;g;760762.5
EL75677;D;Ant;g;760706.0
EL75662;V;Ant;d;760619.5
ACC0049;V;Post;d;760597.5
EL43130;D;Ant;g;760553.5
ACC0074;V;Post;d;760374.0
EL75321;V;Post;g;760225.0
