 ;Label;lumMean;lumSD;area;maxPower;maxFreq;propPower;sumPower;meanPower;powerSD;Mean;SD;File
1; _1463-2387;89.686;31.728;1734443.0;7.636;181.019;0.078;97.764;5.751;1.439;89.686;31.728;ACC0192V
1; _1302-2364;70.276;21.788;1535793.0;9.025;181.019;0.091;99.325;5.843;1.795;70.276;21.788;ACC0193D
1; _1468-2265;86.457;29.838;1540620.0;7.687;181.019;0.078;98.669;5.804;1.426;86.457;29.838;ACC0193V
1; _1486-2375;94.483;23.166;1695206.0;7.46;181.019;0.082;90.755;5.339;1.445;94.483;23.166;ACC0194D
1; _1427-2385;110.916;32.111;1697043.0;6.836;181.019;0.076;90.15;5.303;1.276;110.916;32.111;ACC0194V
1; _1266-2479;83.802;23.727;2013101.0;8.452;181.019;0.089;95.109;5.595;1.617;83.802;23.727;ACC0195D
1; _1390-2349;105.347;32.078;2022150.0;6.975;181.019;0.076;91.845;5.403;1.239;105.347;32.078;ACC0195V
1; _1294-2371;59.877;38.075;1832082.0;9.523;181.019;0.085;112.044;6.591;1.954;59.877;38.075;ACC0196D
1; _1521-2371;79.678;39.236;1818814.0;9.47;181.019;0.09;104.981;6.175;1.856;79.678;39.236;ACC0196V
1; _1446-2529;54.686;42.233;1606666.0;9.652;181.019;0.081;119.158;7.009;2.129;54.686;42.233;ACC0197D
1; _1463-2440;79.885;39.92;1590287.0;9.07;181.019;0.086;106.06;6.239;1.799;79.885;39.92;ACC0197V
1; _1374-2402;52.306;33.17;1890691.0;9.839;181.019;0.088;111.612;6.565;2.106;52.306;33.17;ACC0198D
1; _1446-2409;72.623;36.387;1888384.0;9.343;181.019;0.089;105.557;6.209;1.844;72.623;36.387;ACC0198V
1; _1326-2442;52.095;38.776;1894978.0;9.294;45.255;0.08;116.769;6.869;2.095;52.095;38.776;ACC0199D
1; _1373-2534;68.978;38.376;1907820.0;9.392;181.019;0.085;110.091;6.476;1.908;68.978;38.376;ACC0199V
1; _1450-2565;104.411;65.599;2071316.0;12.315;181.019;0.099;124.648;7.332;3.285;104.411;65.599;ACC0200D
1; _1512-2526;110.964;68.008;2060801.0;11.554;64.0;0.091;126.654;7.45;3.051;110.964;68.008;ACC0200V
1; _1412-2369;110.728;63.377;1974304.0;11.791;181.019;0.098;120.355;7.08;3.095;110.728;63.377;ACC0201D
1; _1404-2342;117.287;63.907;1958909.0;10.695;45.255;0.088;122.049;7.179;2.784;117.287;63.907;ACC0201V
1; _1456-2338;120.732;78.045;2089300.0;13.432;90.51;0.102;131.661;7.745;3.929;120.732;78.045;ACC0202D
1; _1411-2356;121.269;73.496;2091659.0;12.69;64.0;0.098;129.102;7.594;3.528;121.269;73.496;ACC0202V
1; _1430-2228;109.977;84.742;2330590.0;14.565;90.51;0.102;142.737;8.396;4.288;109.977;84.742;ACC0203D
1; _1407-2296;113.178;76.66;2317794.0;13.389;64.0;0.099;135.048;7.944;3.769;113.178;76.66;ACC0203V
1; _1342-2118;100.719;61.129;1618056.0;11.557;90.51;0.094;123.113;7.242;3.089;100.719;61.129;ACC0204D
1; _1638-2240;120.628;55.827;1596540.0;10.551;64.0;0.096;110.2;6.482;2.728;120.628;55.827;ACC0204V
1; _1556-2217;84.386;66.793;1729564.0;13.126;90.51;0.098;133.614;7.86;3.576;84.386;66.793;ACC0205D
