"Tundra";"Tropical & Subtropical Moist Broadleaf Forests";"Mediterranean Forests, Woodlands & Scrub";"Deserts & Xeric Shrublands";"Temperate Grasslands, Savannas & Shrublands";"Boreal Forests/Taiga";"Temperate Conifer Forests";"Temperate Broadleaf & Mixed Forests";"Montane Grasslands & Shrublands";"Mangroves";"Flooded Grasslands & Savannas";"Tropical & Subtropical Grasslands, Savannas & Shrublands";"Tropical & Subtropical Dry Broadleaf Forests";"Tropical & Subtropical Coniferous Forests";"N/A"
"Papilio_anchisiades";0;45.238;0.427;6.121;7.534;0;0.843;0.51;4.268;0.497;1.249;20.469;10.083;2.761;0
"Papilio_epenetus";0;70.6;0;12.288;0;0;0;0;12.575;0.308;0.189;0;4.04;0;0
"Papilio_erostratus";0;28.269;0;12.528;0;0;0;0;0;1.095;0;0.076;26.299;31.733;0
"Papilio_pharnaces";0;20.696;0.667;33.772;0;0;0;0;0;1.412;0;1.426;18.463;23.563;0
"Papilio_alexanor";0;0;32.955;19.604;17.18;0;7.283;21.941;1.036;0;0;0;0;0;0
"Papilio_anactus";0;2.476;15.098;8.476;24.492;0;0;24.942;0.669;0;0;23.632;0.214;0;0
"Papilio_gigon";0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
"Papilio_noblei";0;77.609;0;0;0;0;2.056;0.396;0.221;1.785;0;0;17.914;0.019;0
"Papilio_demolion";0;80.412;0;0;0;0;1.758;0.339;0.207;1.741;0;0;15.316;0.227;0
"Papilio_delalandei";0;53.124;0;10.729;0;0;0;0;0.205;0.889;0;11.235;23.819;0;0
"Papilio_lormieri";0;34.728;0;0;0;0;0;0;0.261;0.4;0.602;64.01;0;0;0
"Papilio_rex";0;15.709;0;4.27;0;0;0;0;7.756;0;1.562;70.703;0;0;0
"Papilio_phorcas";0;37.125;0;0;0;0;0;0;0.332;0.509;1.645;60.388;0;0;0
"Papilio_meriones";0;52.71;0;20.778;0;0;0;0;0.217;0.837;0;0;25.458;0;0
"Papilio_dardanus";0;23.013;0.612;9.169;0;0;0;0;2.782;0.286;2.796;60.048;1.294;0;0
"Papilio_xuthus";0;24.064;0;0.09;6.827;0.043;6.118;50.578;9.079;0;2.976;0.057;0.114;0;0.055
"Papilio_indra";0;0;4.299;38.753;21.697;0;35.251;0;0;0;0;0;0;0;0
"Papilio_polyxenes";0;14.285;0.437;16.883;27.017;0.036;4.394;19.837;1.75;0.653;0.291;1.32;7.238;5.859;0
"Papilio_zelicaon";0.347;0;3.081;24.49;29.276;4.303;38.362;0;0;0;0;0;0;0;0.141
"Papilio_hospiton";0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
"Papilio_machaon";1.141;1.916;5.295;26.167;15.515;10.173;8.293;21.428;8.735;0;0.524;0.068;0.145;0.215;0.387
"Papilio_hippocrates";0;0.942;0;0;0;0;15.729;83.329;0;0;0;0;0;0;0
"Papilio_nobilis";0;34.431;0;0;0;0;0;0;0.492;0;0.03;65.047;0;0;0
"Papilio_epiphorbas";0;53.127;0;20.943;0;0;0;0;0.218;0.469;0;0;25.242;0;0
"Papilio_nireus";0;20.356;0.817;8.824;0;0;0;0;2.793;0.359;3.029;63.605;0.218;0;0
"Papilio_oribazus";0;82.366;0;12.587;0;0;0;0;0.721;0;0;1.294;3.032;0;0
"Papilio_montrouzieri";0;80.296;0;0;0;0;0;0;0;0;0;0;19.704;0;0
"Papilio_crino";0;39.762;0;21.104;0;0;0;0;0;1.267;0;0;37.868;0;0
"Papilio_blumei";0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
"Papilio_buddha";0;93.251;0;0.328;0;0;0;0;0;0;0;0;6.421;0;0
"Papilio_palinurus";0;96.813;0;0;0;0;0;0;0.04;2.229;0;0;0.733;0.185;0
"Papilio_neumoegeni";0;0;0;0;0;0;0;0;0;0;0;0;100;0;0
"Papilio_lorquinianus";0;94.942;0;0;0;0;0;0;0;5.058;0;0;0;0;0
"Papilio_peranthus";0;85.058;0;0;0;0;0;0;0;0;0;0;14.942;0;0
"Papilio_arcturus";0;62.24;0;0.798;0;0;1.618;12.421;9.772;0.828;0;0;12.255;0.067;0
"Papilio_polyctor";0;38.036;0;1.346;0;0;10.779;4.094;33.838;0.008;0;1.12;6.962;2.16;1.658
"Papilio_bianor";0;50.307;0;0.829;0;0;5.566;24.24;8.616;0.039;0.09;0.588;7.549;1.335;0.841
"Papilio_morondavana";0;3.516;0;16.527;0;0;0;0;0;1.172;0;0;78.785;0;0
"Papilio_grosesmithi";0;52.766;0;46.651;0;0;0;0;0.128;0;0;0;0.455;0;0
"Papilio_demoleus";0.001;34.249;6.591;27.333;4.135;0;0.459;4.371;0.267;0.734;0;17.337;4.498;0.026;0
"Papilio_demodocus";0;17.468;0.622;11.491;0;0;0;0;2.697;0.305;2.453;63.988;0.977;0;0
"Papilio_iswara";0;96.731;0;0;0;0;0;0;0.057;3.001;0;0;0;0.211;0
"Papilio_amynthor";0;77.773;0;0;0;0;0;0;0;0;0;0;22.227;0;0
"Papilio_enganius";0;97.151;0;0;0;0;0;0;0.054;2.596;0;0;0;0.199;0
"Papilio_helenus";0;55.104;0;3.453;0;0;3.237;15.273;6.869;0.885;0.124;0.311;13.899;0.465;0.381
"Papilio_tydeus";0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
"Papilio_aegeus";0;1.596;11.369;2.345;24.128;0;0;21.439;0.581;0;0;38.542;0;0;0
"Papilio_bridgei";0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
"Papilio_fuscus";0;93.711;0;0;0;0;0;0;1.286;0.881;0;4.122;0;0;0
"Papilio_hipponous";0;71.131;0;0;0;0;1.22;2.999;3.368;0.004;0;0.107;20.121;0.791;0.259
"Papilio_ambrax";0;56.547;0;0;0;0;0;2.908;1.01;1.535;0;38;0;0;0
"Papilio_polytes";0;55.318;0;12.442;0;0;1.402;1.812;1.783;0.943;0.403;0.187;24.557;0.818;0.334
"Papilio_nephelus";0;96.207;0;0;0;0;0;0;0.29;3.503;0;0;0;0;0
"Papilio_dravidarum";0;32.306;0;38.254;0;0;0;0;0;0;0;0;29.44;0;0
"Papilio_castor";0;74.014;0;0.053;0;0;0.717;1.597;0.307;1.234;0;0.39;21.119;0.414;0.154
"Papilio_mahadeva";0;74.344;0;1.743;0;0;1.995;1.749;1.288;1.546;0;0.159;15.817;1.149;0.211
"Papilio_macilentus";0;0;0;0;0;0;1.886;98.114;0;0;0;0;0;0;0
"Papilio_demetrius";0;1.939;0;0;0;0;3.967;94.094;0;0;0;0;0;0;0
"Papilio_protenor";0;65.414;0;0.035;0;0;5.012;18.841;2.598;0.106;0.05;0.229;6.09;1.166;0.46
"Papilio_bootes";0;22.345;0;0.02;0;0;28.455;14.782;30.286;0;0;0.534;0;0.938;2.64
"Papilio_deiphobus";0;95.067;0;0;0;0;0;0;0;1.18;0;0;2.339;1.414;0
"Papilio_rumanzovia";0;97.473;0;0;0;0;0;0;0;0;0;0;0;2.527;0
"Papilio_memnon";0;93.277;0;0;0;0;0;0;0.527;2.131;0;0.418;3.497;0.15;0
"Papilio_polymnestor";0;42.156;0;18.535;0;0;0;0.016;0;1.089;0;0.648;37.519;0.037;0
