id;view;wing;side;x;y;minor_axis;major_axis;distance_contours;distance_CU2;A_wing
ACC0015;D;Ant;g;185.181366;47.85113144;13.30824757;14.57945919;29.38689182;;33221
ACC0015;D;Ant;g;211.3616333;35.53454971;12.57490063;17.77458954;18.41878423;;33221
ACC0015;D;Post;g;259.45047;369.7779846;11.37847137;18.49437141;13.72586277;335.2411545;25535
ACC0015;D;Post;g;263.8540649;330.0819092;17.45999908;28.1369648;21.33531938;298.9498064;25535
ACC0015;D;Post;g;317.3724976;293.3639526;21.52180481;30.12071228;52.14425697;240.5380138;25535
ACC0015;D;Post;g;275.9325256;283.6325989;16.08649254;26.45170784;16.66305934;253.7343581;25535
ACC0015;D;Post;g;327.4480896;264.5962219;10.94527435;13.20655823;40.4429257;210.3328422;25535
ACC0015;D;Post;g;373.3742371;267.2898254;29.37287903;33.56140518;45.28982544;196.0183247;25535
ACC0015;D;Post;g;306.5693359;245.6885529;14.96944809;19.10610771;12.934511;205.0490077;25535
ACC0015;D;Post;g;348.8959351;235.1481323;21.75435257;23.99723816;13.14813232;174.3865515;25535
ACC0015;V;Ant;g;281.2667847;209.1370087;26.00812531;29.21206284;22.48842837;;27547
ACC0015;V;Ant;g;337.7030029;200.4986877;20.93938637;32.39725494;13.21919029;;27547
ACC0015;V;Ant;g;379.5038757;183.385376;16.92934036;20.7979126;21.24359682;;27547
ACC0015;V;Ant;g;253.1595917;180.6154938;19.61036873;24.27181244;27.72922002;;27547
ACC0015;V;Ant;g;305.045929;175.8986053;15.91056252;22.00649643;47.48166664;;27547
ACC0015;V;Ant;g;279.4660645;154.2741852;13.77041245;24.89782333;63.54157011;;27547
ACC0015;V;Ant;g;236.3514709;151.7495728;15.86075592;23.67579269;28.29614211;;27547
ACC0015;V;Ant;g;263.5295105;130.5334625;14.17421341;24.95743179;59.52908223;;27547
ACC0015;V;Ant;g;223.1663513;125.7443161;13.77026558;21.32972336;28.65249657;;27547
ACC0015;V;Ant;g;301.407135;121.8496628;19.01645851;37.88278198;30.4469151;;27547
ACC0015;V;Ant;g;255.0817413;108.8766022;8.849287987;12.40399361;47.02194186;;27547
ACC0015;V;Ant;g;220.5283051;104.8758163;11.94525337;20.90360451;35.4978214;;27547
ACC0015;V;Ant;g;247.7621307;91.77098846;13.92575264;30.60586548;35.76973031;;27547
